"MODULE","NAME","TABLE","TYPE","UNITS","DESCRIPTION"
"PredictIncome","Income","Household","currency","USD","Total annual household (non-qroup & group quarters) income"
"PredictHousing","Bzone","Household","character","ID","ID of Bzone in which household resides"
"AdjustVehicleOwnership","OwnCost","Household","currency","USD","Annual household vehicle ownership cost (depreciation, finance, insurance, taxes) savings in dollars"
"CalculateHouseholdDvmt","UrbanHhDvmt","Marea","compound","MI/DAY","Average daily vehicle miles traveled in autos or light trucks by households residing in the urbanized portion of the Marea"
"CalculateHouseholdDvmt","TownHhDvmt","Marea","compound","MI/DAY","Average daily vehicle miles traveled in autos or light trucks by households residing in town (urban but not urbanized) portion of the Marea"
"CalculateHouseholdDvmt","RuralHhDvmt","Marea","compound","MI/DAY","Average daily vehicle miles traveled in autos or light trucks by households residing in the rural (non-urban) portion of the Marea"
"CalculateAltModeTrips","WalkTrips","Household","compound","TRIP/DAY","Average number of walk trips per year by household members"
"CalculateAltModeTrips","BikeTrips","Household","compound","TRIP/DAY","Average number of bicycle trips per year by household members"
"CalculateAltModeTrips","TransitTrips","Household","compound","TRIP/DAY","Average number of public transit trips per year by household members"
"CalculateVehicleTrips","VehicleTrips","Household","compound","TRIP/DAY","Average number of vehicle trips per day by household members"
"CalculateRoadDvmt","ComSvcUrbanDvmt","Marea","compound","MI/DAY","Commercial service daily vehicle miles of travel associated with Marea urbanized household activity"
"CalculateRoadDvmt","ComSvcTownDvmt","Marea","compound","MI/DAY","Commercial service daily vehicle miles of travel associated with Marea town household activity"
"CalculateRoadDvmt","ComSvcRuralDvmt","Marea","compound","MI/DAY","Commercial service daily vehicle miles of travel associated with Marea rural household activity"
"CalculateRoadDvmt","HvyTrkUrbanDvmt","Marea","compound","MI/DAY","Heavy truck daily vehicle miles of travel on urbanized area roadways in the Marea"
"CalculateRoadPerformance","LdvTotDelay","Marea","time","DAY","Total light-duty vehicle delay (hours per day) on urban area roads"
"CalculateRoadPerformance","BusTotDelay","Marea","time","DAY","Total bus vehicle delay (hours per day) on urban area roads"
"BudgetHouseholdDvmt","DailyGGE","Household","compound","GGE/DAY","Gasoline equivalent gallons consumed per day by household vehicle travel"
"BudgetHouseholdDvmt","DailyKWH","Household","compound","GGE/DAY","Kilowatt-hours consumed per day by household vehicle travel"
"BudgetHouseholdDvmt","DailyCO2e","Household","compound","KG/DAY","Grams of carbon-dioxide equivalents produced per day by household vehicle travel"
"CalculateComEnergyAndEmissions","ComSvcUrbanGGE","Marea","compound","GGE/DAY","Average daily amount of hydrocarbon fuels consumed by commercial service vehicles associated with urban household activity in gas gallon equivalents"
"CalculateComEnergyAndEmissions","ComSvcNonUrbanGGE","Marea","compound","GGE/DAY","Average daily amount of hydrocarbon fuels consumed by commercial service vehicles associated with rural and town household activity in gas gallon equivalents"
"CalculateComEnergyAndEmissions","HvyTrkUrbanGGE","Marea","compound","GGE/DAY","Average daily amount of hydrocarbon fuels consumed by heavy trucks on urbanized area roadways in the Marea in gas gallon equivalents"
"CalculateComEnergyAndEmissions","ComSvcUrbanKWH","Marea","compound","GGE/DAY","Average daily amount of electricity consumed by commercial service vehicles associated with urban household activity in kilowatt-hours"
"CalculateComEnergyAndEmissions","ComSvcNonUrbanKWH","Marea","compound","GGE/DAY","Average daily amount of electricity consumed by commercial service vehicles associated with rural and town household activity in kilowatt-hours"
"CalculateComEnergyAndEmissions","HvyTrkUrbanKWH","Marea","compound","GGE/DAY","Average daily amount of electricity consumed by heavy trucks on urbanized area roadways in the Marea in kilowatt-hours"
"CalculateComEnergyAndEmissions","ComSvcUrbanCO2e","Marea","compound","KG/DAY","Average daily amount of carbon-dioxide equivalents produced by commercial service vehicles associated with urban household activity in grams"
"CalculateComEnergyAndEmissions","ComSvcNonUrbanCO2e","Marea","compound","KG/DAY","Average daily amount of carbon-dioxide equivalents produced by commercial service vehicles associated with rural and town household activity in grams"
"CalculateComEnergyAndEmissions","HvyTrkUrbanCO2e","Marea","compound","KG/DAY","Average daily amount of carbon-dioxide equivalents produced by heavy trucks on urbanized area roadways in the Marea in grams"
"CalculatePtranEnergyAndEmissions","BusGGE","Marea","compound","GGE/DAY","Average daily amount of hydrocarbon fuels consumed by bus transit vehicles in urbanized area in gas gallon equivalents"
"CalculatePtranEnergyAndEmissions","RailGGE","Marea","compound","GGE/DAY","Average daily amount of hydrocarbon fuels consumed by rail transit vehicles in urbanized area in gas gallon equivalents"
"CalculatePtranEnergyAndEmissions","VanGGE","Marea","compound","GGE/DAY","Average daily amount of hydrocarbon fuels consumed by van transit vehicles in urbanized area in gas gallon equivalents"
"CalculatePtranEnergyAndEmissions","BusKWH","Marea","compound","GGE/DAY","Average daily amount of electricity consumed by bus transit vehicles in urbanized area in kilowatt-hours"
"CalculatePtranEnergyAndEmissions","RailKWH","Marea","compound","GGE/DAY","Average daily amount of electricity consumed by rail transit vehicles in urbanized area in kilowatt-hours"
"CalculatePtranEnergyAndEmissions","VanKWH","Marea","compound","GGE/DAY","Average daily amount of electricity consumed by van transit vehicles in urbanized area in kilowatt-hours"
"CalculatePtranEnergyAndEmissions","BusCO2e","Marea","compound","KG/DAY","Average daily amount of carbon-dioxide equivalents produced by bus transit vehicles in urbanized area in grams"
"CalculatePtranEnergyAndEmissions","RailCO2e","Marea","compound","KG/DAY","Average daily amount of carbon-dioxide equivalents produced by rail transit vehicles in urbanized area in grams"
