Geo,Year,EcoProp,ImpProp
1611,2019,1,0
1611,2045,1,0
1612,2019,1,0
1612,2045,1,0
1613,2019,1,0.009
1613,2045,1,0.009
1614,2019,1,0
1614,2045,1,0
1615,2019,1,0
1615,2045,1,0
1616,2019,1,0
1616,2045,1,0
1617,2019,1,0
1617,2045,1,0
1618,2019,1,0.009
1618,2045,1,0.009
1619,2019,1,0
1619,2045,1,0
1620,2019,1,0
1620,2045,1,0
1621,2019,1,0
1621,2045,1,0
1622,2019,1,0
1622,2045,1,0
1623,2019,1,0
1623,2045,1,0
1624,2019,1,0
1624,2045,1,0
1625,2019,1,0
1625,2045,1,0
1626,2019,1,0
1626,2045,1,0
1627,2019,1,0
1627,2045,1,0
1628.01,2019,1,0
1628.01,2045,1,0
1628.02,2019,1,0
1628.02,2045,1,0
1628.03,2019,1,0.009
1628.03,2045,1,0.009
1629,2019,1,0
1629,2045,1,0
1630.01,2019,1,0.009
1630.01,2045,1,0.009
1630.02,2019,1,0.009
1630.02,2045,1,0.009
1631,2019,1,0.009
1631,2045,1,0.009
1632.01,2019,1,0.009
1632.01,2045,1,0.009
1632.02,2019,1,0.009
1632.02,2045,1,0.009
1632.03,2019,1,0.009
1632.03,2045,1,0.009
1632.04,2019,1,0.009
1632.04,2045,1,0.009
1633,2019,1,0.009
1633,2045,1,0.009
1634,2019,1,0
1634,2045,1,0
1635,2019,1,0
1635,2045,1,0
1636,2019,1,0
1636,2045,1,0
1637,2019,1,0.009
1637,2045,1,0.009
1638.01,2019,1,0.009
1638.01,2045,1,0.009
1638.02,2019,1,0.009
1638.02,2045,1,0.009
1639.01,2019,1,0.009
1639.01,2045,1,0.009
1639.02,2019,1,0.009
1639.02,2045,1,0.009
1640,2019,1,0
1640,2045,1,0.009
1641,2019,1,0
1641,2045,1,0
1642,2019,1,0
1642,2045,1,0.009
1643,2019,1,0
1643,2045,1,0.009
1644,2019,1,0
1644,2045,1,0
1645,2019,1,0.009
1645,2045,1,0.009
1646,2019,1,0.009
1646,2045,1,0.009
1647.01,2019,1,0.009
1647.01,2045,1,0.009
1647.02,2019,1,0
1647.02,2045,1,0.009
1648,2019,1,0.009
1648,2045,1,0.009
1649,2019,1,0
1649,2045,1,0
1650,2019,1,0
1650,2045,1,0.009
1651,2019,1,0
1651,2045,1,0
1652.01,2019,1,0
1652.01,2045,1,0
1652.02,2019,1,0.009
1652.02,2045,1,0.009
1653,2019,1,0
1653,2045,1,0
1654.01,2019,1,0
1654.01,2045,1,0.009
1654.02,2019,1,0
1654.02,2045,1,0
1655,2019,1,0.009
1655,2045,1,0.009
1656,2019,1,0.009
1656,2045,1,0.009
1657,2019,1,0.009
1657,2045,1,0.009
1658,2019,1,0.009
1658,2045,1,0.009
1659,2019,1,0
1659,2045,1,0
1660,2019,1,0.009
1660,2045,1,0.009
1661,2019,1,0
1661,2045,1,0
1662.01,2019,1,0.009
1662.01,2045,1,0.009
1662.02,2019,1,0
1662.02,2045,1,0
1662.03,2019,1,0.009
1662.03,2045,1,0.009
1663,2019,1,0.009
1663,2045,1,0.009
1664,2019,1,0.009
1664,2045,1,0.009
1665.01,2019,1,0.009
1665.01,2045,1,0.009
1665.02,2019,1,0
1665.02,2045,1,0
1666,2019,1,0
1666,2045,1,0
1667,2019,1,0.009
1667,2045,1,0.009
1668,2019,1,0
1668,2045,1,0
1669,2019,1,0
1669,2045,1,0
1670,2019,1,0
1670,2045,1,0
1671,2019,1,0.009
1671,2045,1,0.009
1672.01,2019,1,0.009
1672.01,2045,1,0.009
1672.02,2019,1,0
1672.02,2045,1,0
