Geo,Year,CarSvcLevel
1611,2019,Low
1612,2019,Low
1613,2019,Low
1614,2019,Low
1615,2019,Low
1616,2019,Low
1617,2019,Low
1618,2019,Low
1619,2019,Low
1620,2019,Low
1621,2019,Low
1622,2019,Low
1623,2019,Low
1624,2019,Low
1625,2019,Low
1626,2019,Low
1627,2019,Low
1628.01,2019,Low
1628.02,2019,Low
1628.03,2019,Low
1629,2019,Low
1630.01,2019,Low
1630.02,2019,Low
1631,2019,Low
1632.01,2019,Low
1632.02,2019,Low
1632.03,2019,Low
1632.04,2019,Low
1633,2019,Low
1634,2019,Low
1635,2019,Low
1636,2019,Low
1637,2019,Low
1638.01,2019,Low
1638.02,2019,Low
1639.01,2019,Low
1639.02,2019,Low
1640,2019,Low
1641,2019,Low
1642,2019,Low
1643,2019,Low
1644,2019,Low
1645,2019,Low
1646,2019,Low
1647.01,2019,Low
1647.02,2019,Low
1648,2019,Low
1649,2019,Low
1650,2019,Low
1651,2019,Low
1652.01,2019,Low
1652.02,2019,Low
1653,2019,Low
1654.01,2019,Low
1654.02,2019,Low
1655,2019,Low
1656,2019,Low
1657,2019,Low
1658,2019,Low
1659,2019,Low
1660,2019,Low
1661,2019,Low
1662.01,2019,Low
1662.02,2019,Low
1662.03,2019,Low
1663,2019,Low
1664,2019,Low
1665.01,2019,Low
1665.02,2019,Low
1666,2019,Low
1667,2019,Low
1668,2019,Low
1669,2019,Low
1670,2019,Low
1671,2019,Low
1672.01,2019,Low
1672.02,2019,Low
1673.01,2019,Low
1673.02,2019,Low
1673.03,2019,Low
1674,2019,Low
1675.01,2019,Low
1675.02,2019,Low
1676.01,2019,Low
1676.02,2019,Low
1676.03,2019,Low
1677,2019,Low
1678,2019,Low
1679,2019,Low
1680,2019,Low
1681,2019,Low
1682.01,2019,Low
1682.02,2019,Low
1683,2019,Low
1684,2019,Low
1685,2019,Low
1686,2019,Low
1687,2019,Low
1688.01,2019,Low
1688.02,2019,Low
1688.03,2019,Low
1689.01,2019,Low
1689.02,2019,Low
1689.03,2019,Low
1690.01,2019,Low
1690.02,2019,Low
1691,2019,Low
1692,2019,Low
1693,2019,Low
1694,2019,Low
1695,2019,Low
1696,2019,Low
1697,2019,Low
1698,2019,Low
1699,2019,Low
1700,2019,Low
1701,2019,Low
1702,2019,Low
1703,2019,Low
1704.01,2019,Low
1704.02,2019,Low
1704.03,2019,Low
1705,2019,Low
1706,2019,Low
1707,2019,Low
1708,2019,Low
1709,2019,Low
1710,2019,Low
1711,2019,Low
1712,2019,Low
1713,2019,Low
1714,2019,Low
1715,2019,Low
1716,2019,Low
1717,2019,Low
1718,2019,Low
1719,2019,Low
1720,2019,Low
1721,2019,Low
1722,2019,Low
1723,2019,Low
1724,2019,Low
1725.01,2019,Low
1725.02,2019,Low
1726.01,2019,Low
1726.02,2019,Low
1727,2019,Low
1728.01,2019,Low
