Geo,Year,MixUseProp
1917,2019,NA
1756,2019,NA
1827,2019,NA
1858,2019,NA
1941,2019,NA
1929,2019,NA
1931,2019,NA
1932,2019,NA
1963,2019,NA
1966.02,2019,NA
1967,2019,NA
1819,2019,NA
1936,2019,NA
1937,2019,NA
1939,2019,NA
1940,2019,NA
1920,2019,NA
1922,2019,NA
1928,2019,NA
1938,2019,NA
1933,2019,NA
1934,2019,NA
1935,2019,NA
1869.01,2019,NA
1861,2019,NA
1885,2019,NA
1866.03,2019,NA
1927,2019,NA
1884,2019,NA
1876,2019,NA
1918,2019,NA
1919,2019,NA
1915,2019,NA
1916,2019,NA
1880,2019,NA
1900,2019,NA
1879,2019,NA
1848.01,2019,NA
1804,2019,NA
1805,2019,NA
1810,2019,NA
1969.02,2019,NA
1817.01,2019,NA
1816,2019,NA
1968.01,2019,NA
1818,2019,NA
1823,2019,NA
1822,2019,NA
1821,2019,NA
1820,2019,NA
1851.02,2019,NA
1836,2019,NA
1847.01,2019,NA
1813,2019,NA
1814.02,2019,NA
1970,2019,NA
1857,2019,NA
1845.02,2019,NA
1842.01,2019,NA
1871,2019,NA
1855,2019,NA
1844,2019,NA
1849.02,2019,NA
1832.02,2019,NA
1889,2019,NA
1888,2019,NA
1788,2019,NA
1641,2019,NA
1850,2019,NA
1790,2019,NA
1639.02,2019,NA
1640,2019,NA
1785,2019,NA
1789,2019,NA
1802,2019,NA
1792,2019,NA
1793.01,2019,NA
1801,2019,NA
1856,2019,NA
1859,2019,NA
1828,2019,NA
1891,2019,NA
1702,2019,NA
1874,2019,NA
1830,2019,NA
1712,2019,NA
1720,2019,NA
1890,2019,NA
1894,2019,NA
1878,2019,NA
1881,2019,NA
1649,2019,NA
1707,2019,NA
1701,2019,NA
1648,2019,NA
1654.01,2019,NA
1740,2019,NA
1860,2019,NA
1838.01,2019,NA
1695,2019,NA
1666,2019,NA
1672.01,2019,NA
1644,2019,NA
1647.01,2019,NA
1646,2019,NA
1686,2019,NA
1652.02,2019,NA
1645,2019,NA
1783,2019,NA
1643,2019,NA
1765,2019,NA
1679,2019,NA
1685,2019,NA
1659,2019,NA
1663,2019,NA
1664,2019,NA
1677,2019,NA
1758,2019,NA
1674,2019,NA
1680,2019,NA
1721,2019,NA
1774,2019,NA
1730.02,2019,NA
1728.02,2019,NA
1787,2019,NA
1736,2019,NA
1706,2019,NA
1704.02,2019,NA
1703,2019,NA
1759,2019,NA
1745,2019,NA
1761,2019,NA
1747,2019,NA
1723,2019,NA
1714,2019,NA
1718,2019,NA
1732,2019,NA
1700,2019,NA
1826,2019,NA
1893,2019,NA
1742.01,2019,NA
1658,2019,NA
1678,2019,NA
1748,2019,NA
1795,2019,NA
1716,2019,NA
1757,2019,NA
1737,2019,NA
1760,2019,NA
1711,2019,NA
1767,2019,NA
1743,2019,NA
1681,2019,NA
1665.01,2019,NA
1667,2019,NA
1669,2019,NA
1713,2019,NA
1764,2019,NA
1782,2019,NA
1781,2019,NA
1766,2019,NA
1642,2019,NA
1671,2019,NA
1662.02,2019,NA
1673.01,2019,NA
1780,2019,NA
1779,2019,NA
1775,2019,NA
1778,2019,NA
1724,2019,NA
1717,2019,NA
1719,2019,NA
1899,2019,NA
1898,2019,NA
1896,2019,NA
1897,2019,NA
1886,2019,NA
1887,2019,NA
1651,2019,NA
1901.02,2019,NA
1904,2019,NA
1906.01,2019,NA
1912,2019,NA
1910,2019,NA
1909,2019,NA
1944.02,2019,NA
1945.02,2019,NA
1946,2019,NA
1943.03,2019,NA
1942,2019,NA
1953,2019,NA
1908,2019,NA
1955,2019,NA
1994,2019,NA
1958,2019,NA
1957,2019,NA
1956,2019,NA
1998,2019,NA
1798.03,2019,NA
1800.03,2019,NA
1965,2019,NA
1811,2019,NA
1974,2019,NA
1960,2019,NA
1972.04,2019,NA
1971,2019,NA
1964,2019,NA
1961,2019,NA
1962,2019,NA
1954,2019,NA
1959,2019,NA
1976,2019,NA
1975,2019,NA
1824,2019,NA
1895,2019,NA
1825,2019,NA
1794,2019,NA
1708,2019,NA
1715,2019,NA
1731.02,2019,NA
1854.02,2019,NA
1768,2019,NA
1776,2019,NA
1777,2019,NA
1751,2019,NA
1755,2019,NA
1752.01,2019,NA
1675.01,2019,NA
