Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropWkrPay,PropCashOut,PkgCost.2019,PropNonWrkTripPay
1611,2019,2,1.6,0,0.11,0,0,0
1612,2019,2,1.6,0,0.11,0,0,0
1613,2019,2,1.6,0,0.11,0,0,0
1614,2019,2,1.6,0,0.11,0,0,0
1615,2019,2,1.6,0,0.11,0,0,0
1616,2019,2,1.6,0,0.11,0,0,0
1617,2019,2,1.6,0,0.11,0,0,0
1618,2019,2,1.6,0,0.11,0,0,0
1619,2019,2,1.6,0,0.11,0,0,0
1620,2019,2,1.6,0,0.11,0,0,0
1621,2019,2,1.6,0,0.11,0,0,0
1622,2019,2,1.6,0,0.11,0,0,0
1623,2019,2,1.6,0,0.11,0,0,0
1624,2019,2,1.6,0,0.11,0,0,0
1625,2019,2,1.6,0,0.11,0,0,0
1626,2019,2,1.6,0,0.11,0,0,0
1627,2019,2,1.6,0,0.11,0,2.06,0
1628.01,2019,2,1.6,702,0.11,0,3.15,0
1628.02,2019,2,1.6,702,0.11,0,3.15,0
1628.03,2019,2,1.6,702,0.11,0,3.15,0
1629,2019,2,1.6,0,0.11,0,1.44,0
1630.01,2019,2,1.75,0,0.11,0,3.66,0
1630.02,2019,2,1.75,0,0.11,0,3.66,0
1631,2019,2,1.75,0,0.11,0,3.54,0
1632.01,2019,2,1.75,0,0.11,0,2.59,0
1632.02,2019,2,1.75,0,0.11,0,2.59,0
1632.03,2019,2,1.75,0,0.11,0,2.59,0
1632.04,2019,2,1.75,0,0.11,0,2.59,0
1633,2019,2,1.6,0,0.11,0,3.8,0
1634,2019,2,1.75,0,0.11,0,3.72,0
1635,2019,2,1.6,0,0.11,0,0.71,0
1636,2019,2,1.6,0,0.11,0,2.14,0
1637,2019,2,1.6,0,0.11,0,3.87,0
1638.01,2019,2,1.6,0,0.11,0,5.37,0
1638.02,2019,2,1.6,0,0.11,0,5.37,0
1639.01,2019,2,1.6,0,0.11,0,4.86,0
1639.02,2019,2,1.6,0,0.11,0,4.86,0
1640,2019,2,1.6,0,0.11,0,3.59,0
1641,2019,2,1.6,0,0.11,0,3.62,0
1642,2019,2,1.6,0,0.11,0,4.1,0
1643,2019,2,1.6,0,0.11,0,2.43,0
1644,2019,2,1.6,0,0.11,0,3.75,0
1645,2019,2,1.6,0,0.11,0,4.4,0
1646,2019,2,1.6,0,0.11,0,4.91,0
1647.01,2019,2,1.6,0,0.11,0,4.99,0
1647.02,2019,2,1.6,0,0.11,0,4.99,0
1648,2019,2,1.6,0,0.11,0,3.45,0
1649,2019,2,1.6,0,0.11,0,3.5,0
1650,2019,2,1.6,0,0.11,0,4.57,0
1651,2019,2,1.6,0,0.11,0,4.02,0
1652.01,2019,2,1.6,0,0.11,0,4.03,0
1652.02,2019,2,1.6,0,0.11,0,4.03,0
1653,2019,2,1.6,0,0.11,0,0,0
1654.01,2019,2,1.6,0,0.11,0,0,0
1654.02,2019,2,1.6,0,0.11,0,0,0
1655,2019,2,1.6,0,0.11,0,0,0
1656,2019,2,1.6,0,0.11,0,0.44,0
1657,2019,2,1.6,0,0.11,0,1.76,0
1658,2019,2,1.6,0,0.11,0,1.64,0
1659,2019,2,1.6,0,0.11,0,0,0
1660,2019,2,1.6,0,0.11,0,0,0
1661,2019,2,1.6,0,0.11,0,1.29,0
1662.01,2019,2,1.6,0,0.11,0,5.04,0
1662.02,2019,2,1.6,0,0.11,0,5.04,0
1662.03,2019,2,1.6,0,0.11,0,5.04,0
1663,2019,2,1.6,0,0.11,0,3.86,0
1664,2019,2,1.6,0,0.11,0,0,0
1665.01,2019,2,1.6,0,0.11,0,0,0
1665.02,2019,2,1.6,0,0.11,0,0,0
1666,2019,2,1.6,0,0.11,0,0,0
1667,2019,2,1.6,0,0.11,0,2.35,0
1668,2019,2,1.6,0,0.11,0,0,0
1669,2019,2,1.6,0,0.11,0,0,0
1670,2019,2,1.6,0,0.11,0,0,0
1671,2019,2,1.6,0,0.11,0,0,0
1672.01,2019,2,1.6,0,0.11,0,2.76,0
1672.02,2019,2,1.6,0,0.11,0,2.76,0
1673.01,2019,2,1.6,0,0.11,0,2.5,0
1673.02,2019,2,1.6,0,0.11,0,2.5,0
1673.03,2019,2,1.6,0,0.11,0,2.5,0
1674,2019,2,1.6,0,0.11,0,2.66,0
1675.01,2019,2,1.6,0,0.11,0,3.99,0
1675.02,2019,2,1.6,0,0.11,0,3.99,0
1676.01,2019,2,1.6,0,0.11,0,1.21,0
1676.02,2019,2,1.6,0,0.11,0,1.21,0
1676.03,2019,2,1.6,0,0.11,0,1.21,0
1677,2019,2,1.6,0,0.11,0,0.88,0
1678,2019,2,1.6,0,0.11,0,3.87,0
1679,2019,2,1.6,0,0.11,0,2.63,0
1680,2019,2,1.6,0,0.11,0,3.3,0
1681,2019,2,1.6,0,0.11,0,5.2,0
1682.01,2019,2,1.6,0,0.11,0,5.73,0
1682.02,2019,2,1.6,0,0.11,0,5.73,0
1683,2019,2,1.6,0,0.11,0,5.47,0
1684,2019,2,1.6,0,0.11,0,4.1,0
1685,2019,2,1.6,0,0.11,0,3.49,0
1686,2019,2,1.6,0,0.11,0,0,0
1687,2019,2,1.6,0,0.11,0,0,0
1688.01,2019,2,1.6,0,0.11,0,5.95,0
1688.02,2019,2,1.6,0,0.11,0,5.95,0
1688.03,2019,2,1.6,0,0.11,0,5.95,0
1689.01,2019,2,1.6,0,0.11,0,5.52,0
1689.02,2019,2,1.6,0,0.11,0,5.52,0
1689.03,2019,2,1.6,0,0.11,0,5.52,0
1690.01,2019,2,1.6,0,0.11,0,5.99,0
1690.02,2019,2,1.6,0,0.11,0,5.99,0
1691,2019,2,1.6,0,0.11,0,4.77,0
1692,2019,2,1.6,0,0.11,0,2.38,0
1693,2019,2,1.6,0,0.11,0,1.59,0
