Geo,Year,D4c
1611,2019,0.81357
1612,2019,0.01461
1613,2019,8.58204
1614,2019,17.7391
1615,2019,0
1616,2019,0.0047
1617,2019,1.96747
1618,2019,3.0468
1619,2019,3.33278
1620,2019,3.33243
1621,2019,0.00175
1622,2019,2.89173
1623,2019,12.58609
1624,2019,4.3771
1625,2019,4.33678
1626,2019,0.08518
1627,2019,18.88204
1628.01,2019,45.97968
1628.02,2019,46.33378
1628.03,2019,46.30998
1629,2019,15.7897
1630.01,2019,14.35894
1630.02,2019,52.4478
1631,2019,56.03521
1632.01,2019,46.93327
1632.02,2019,37.51382
1632.03,2019,22.73625
1632.04,2019,16.09216
1633,2019,30.17843
1634,2019,16.33138
1635,2019,6.44998
1636,2019,7.24461
1637,2019,32.62408
1638.01,2019,26.27275
1638.02,2019,17.92757
1639.01,2019,13.62316
1639.02,2019,11.0695
1640,2019,18.5971
1641,2019,18.08962
1642,2019,25.90884
1643,2019,10.21552
1644,2019,31.89499
1645,2019,24.78619
1646,2019,17.38903
1647.01,2019,21.36108
1647.02,2019,33.17996
1648,2019,8.94946
1649,2019,11.67023
1650,2019,14.64876
1651,2019,21.64628
1652.01,2019,8.73209
1652.02,2019,14.47954
1653,2019,1.38089
1654.01,2019,21.62816
1654.02,2019,21.5161
1655,2019,11.60612
1656,2019,13.59591
1657,2019,18.33393
1658,2019,10.01365
1659,2019,10.97348
1660,2019,13.246
1661,2019,16.08609
1662.01,2019,15.15728
1662.02,2019,14.88025
1662.03,2019,13.37869
1663,2019,12.94686
1664,2019,26.87973
1665.01,2019,15.73344
1665.02,2019,11.3467
1666,2019,25.8622
1667,2019,26.35717
1668,2019,4.00872
1669,2019,5.35957
1670,2019,1.888
1671,2019,13.08918
1672.01,2019,28.17473
1672.02,2019,28.34496
1673.01,2019,32.71957
1673.02,2019,61.19613
1673.03,2019,62.01249
1674,2019,25.42423
1675.01,2019,60.38102
1675.02,2019,58.46624
1676.01,2019,58.96131
1676.02,2019,58.90311
1676.03,2019,62.20918
1677,2019,24.63321
1678,2019,16.34874
1679,2019,16.45123
1680,2019,24.45356
1681,2019,50.4669
1682.01,2019,19.22019
1682.02,2019,49.39458
1683,2019,16.33357
1684,2019,15.5763
1685,2019,0.6282
1686,2019,0.08307
1687,2019,0.00333
1688.01,2019,13.2464
1688.02,2019,50.29754
1688.03,2019,50.32651
1689.01,2019,16.44846
1689.02,2019,50.27443
1689.03,2019,50.33272
1690.01,2019,50.30844
1690.02,2019,49.9564
1691,2019,37.62463
1692,2019,24.59422
1693,2019,24.5833
1694,2019,21.99547
1695,2019,21.77592
1696,2019,18.57698
1697,2019,18.79164
1698,2019,9.29997
1699,2019,10.46878
1700,2019,0.06519
1701,2019,0.00003
1702,2019,0
1703,2019,18.387
1704.01,2019,61.20629
1704.02,2019,61.84742
1704.03,2019,61.84486
1705,2019,5.37238
1706,2019,34.57894
1707,2019,16.05877
1708,2019,15.49022
1709,2019,3.00204
1710,2019,2.99706
1711,2019,0.00767
1712,2019,0.00043
1713,2019,0.00005
1714,2019,0.00256
1715,2019,7.60983
1716,2019,1.76415
1717,2019,22.05727
1718,2019,1.48752
1719,2019,6.00116
1720,2019,10.46471
1721,2019,10.14112
1722,2019,12.10014
1723,2019,78.20638
1724,2019,66.12459
1725.01,2019,79.51321
1725.02,2019,78.66667
1726.01,2019,77.0997
1726.02,2019,76.01342
1727,2019,133.66667
1728.01,2019,137.33333
1728.02,2019,137.00889
1729.01,2019,133.6504
1729.02,2019,133.66667
1730.01,2019,107.06965
1730.02,2019,136.78355
1731.01,2019,152.39119
1731.02,2019,152.86571
1731.03,2019,151.56625
1732,2019,80.78742
1733,2019,53.85842
1734,2019,22.84105
1735,2019,23.31426
1736,2019,43.19917
1737,2019,49.1203
1738,2019,25.06181
1739.01,2019,152.67631
1739.02,2019,137.19049
1739.03,2019,141.03654
1740,2019,173.13381
1741.01,2019,150.67281
1741.02,2019,151.61153
1741.03,2019,150.63247
1742.01,2019,129.36098
1742.02,2019,129.35299
1743,2019,129.29137
1744.01,2019,143.80466
1744.02,2019,142.30346
1745,2019,143.53376
1746,2019,60.05898
1747,2019,91.63659
1748,2019,24.76696
1749,2019,62.37227
1750.01,2019,95.96286
1750.02,2019,96.85287
1750.03,2019,95.50294
1751,2019,55.08732
1752.01,2019,47.70936
1752.02,2019,17.88219
1753.01,2019,62.33333
1753.02,2019,62.33333
1753.03,2019,62.16761
1754.01,2019,16.52742
1754.02,2019,23.68606
1754.03,2019,23.65176
1755,2019,18.74368
1756,2019,62.32609
1757,2019,33.98592
1758,2019,22.71677
1759,2019,17.52588
1760,2019,7.38588
1761,2019,112.12853
1762,2019,26.23339
1763,2019,18.73972
1764,2019,1.34983
1765,2019,0.0114
1766,2019,20.98095
1767,2019,78.72344
1768,2019,94.56861
1769,2019,93.95965
1770.01,2019,56.05118
1770.02,2019,55.66667
1771,2019,41.89437
1772,2019,45.95711
1773,2019,55.66667
1774,2019,55.29381
1775,2019,0.22982
1776,2019,2.17596
1777,2019,0.02916
1778,2019,5.38205
1779,2019,32.54959
1780,2019,11.37185
1781,2019,0.27962
1782,2019,0.15151
1783,2019,0.0329
1784,2019,18.73941
1785,2019,27.91899
1786,2019,24.30324
1787,2019,24.3457
1788,2019,28.28472
1789,2019,52.74028
1790,2019,34.6632
1791,2019,22.66834
1792,2019,25.52595
1793.01,2019,21.69124
1793.02,2019,21.65982
1794,2019,14.39807
1795,2019,32.79306
1796.01,2019,29.01371
1796.02,2019,17.8933
1796.03,2019,19.99088
1797.01,2019,31.33333
1797.02,2019,31.33723
1797.03,2019,29.46804
1798.01,2019,26.61804
1798.02,2019,26.70661
1798.03,2019,26.66312
1798.04,2019,26.64758
1799,2019,13.49696
1800.01,2019,28.70699
1800.02,2019,11.99767
1800.03,2019,29.98934
1800.04,2019,35.35692
1800.05,2019,34.9756
1800.06,2019,30.22121
1801,2019,25.63859
1802,2019,26.9576
1803,2019,81.33635
1804,2019,82.37327
1805,2019,48.97067
1806,2019,77.27189
1807,2019,23.41734
1808,2019,25.36076
1809,2019,69.89905
1810,2019,41.71905
1811,2019,43.0191
1812,2019,57.50259
1813,2019,57.75986
1814.01,2019,115.17829
1814.02,2019,86.1961
1815,2019,23.10579
1816,2019,84.68161
1817.01,2019,118.66667
1817.02,2019,118.44166
1817.03,2019,118.66667
1818,2019,97.67064
1819,2019,52.70313
1820,2019,52.40767
1821,2019,42.71988
1822,2019,74.76084
1823,2019,45.97318
1824,2019,56.85705
1825,2019,72.16656
1826,2019,3.97099
1827,2019,4.2168
1828,2019,0.47615
1829,2019,0.00871
1830,2019,6.58756
1831,2019,24.222
1832.01,2019,105.83208
1832.02,2019,100.76702
1832.03,2019,30.5503
1833.01,2019,114
1833.02,2019,115.04234
1833.03,2019,114.49906
1834,2019,113.81994
1835,2019,113.99919
1836,2019,79.56897
1837,2019,116.99991
1838.01,2019,118.20113
1838.02,2019,117.50252
1839,2019,238.26639
1840,2019,118.39681
1841.01,2019,241.97465
1841.02,2019,239.61378
1841.03,2019,242.229
1841.04,2019,211.84594
1842.01,2019,242.33333
1842.02,2019,242.33333
1843.01,2019,240.22776
1843.02,2019,242.33333
1844,2019,242.33333
1845.01,2019,241.8705
1845.02,2019,239.3803
1845.03,2019,242.33333
1846.01,2019,238.97754
1846.02,2019,242.33333
1847.01,2019,142.28207
1847.02,2019,142.11595
1848.01,2019,84.92308
1848.02,2019,108.01562
1849.01,2019,103.00077
1849.02,2019,126.45349
1850,2019,75.01433
1851.01,2019,152.18583
1851.02,2019,122.83323
1852.01,2019,159.7784
1852.02,2019,143.19777
1853.01,2019,160.42861
1853.02,2019,170.42685
1854.01,2019,165.48989
1854.02,2019,164.21517
1855,2019,242.3317
1856,2019,121.44408
1857,2019,119.8981
1858,2019,46.90713
1859,2019,44.65378
1860,2019,66.35341
1861,2019,81.31462
1862,2019,53.2364
1863,2019,52.34134
1864,2019,80.67054
1865.01,2019,76.31782
1865.02,2019,78.42124
1865.03,2019,80.66667
1865.04,2019,80.66667
1866.01,2019,49.78236
1866.02,2019,32.79231
1866.03,2019,49.07371
1867.01,2019,65.95553
1867.02,2019,55.88751
1868.01,2019,117.00708
1868.02,2019,116.70511
1868.03,2019,117.77581
1869.01,2019,91.70915
1869.02,2019,95.28728
1870,2019,90.2773
1871,2019,55.5673
1872,2019,42.43638
1873,2019,93.44358
1874,2019,94.81072
1875,2019,53.4761
1876,2019,72.02725
1877,2019,86.5851
1878,2019,72.56937
1879,2019,44.55498
1880,2019,59.12023
1881,2019,37.05361
1882,2019,11.16295
1883,2019,0.01897
1884,2019,0.01109
1885,2019,0.07026
1886,2019,0.28408
1887,2019,27.53532
1888,2019,113.60353
1889,2019,112.81368
1890,2019,10.89935
1891,2019,5.22357
1892,2019,4.11492
1893,2019,11.71612
1894,2019,10.58785
1895,2019,10.63706
1896,2019,0.00807
1897,2019,0.00668
1898,2019,0
1899,2019,0.00293
1900,2019,18.70136
1901.01,2019,305.78381
1901.02,2019,305.99867
1901.03,2019,305.0643
1902,2019,178.24886
1903,2019,118.53826
1904,2019,305.995
1905,2019,72.26012
1906.01,2019,86.28414
1906.02,2019,98.97825
1907,2019,134.44425
1908,2019,104.64202
1909,2019,136.39638
1910,2019,278.33333
1911,2019,278.32033
1912,2019,279.38452
1913,2019,59.84275
1914,2019,99.59542
1915,2019,6.12994
1916,2019,45.15652
1917,2019,59.76137
1918,2019,29.09461
1919,2019,43.2593
1920,2019,113.76846
1921,2019,92.91752
1922,2019,21.04758
1923,2019,106.76279
1924,2019,78.38494
1925,2019,123.28993
1926,2019,122.86682
1927,2019,45.38189
1928,2019,32.50676
1929,2019,43.85984
1930,2019,42.91772
1931,2019,27.43435
1932,2019,41.92275
1933,2019,35.04245
1934,2019,41.87538
1935,2019,59.34098
1936,2019,78.75303
1937,2019,128.84782
1938,2019,91.53827
1939,2019,133.23832
1940,2019,101.20059
1941,2019,84.32255
1942,2019,87.18057
1943.01,2019,89.9964
1943.02,2019,90
1943.03,2019,85.85808
1944.01,2019,137.48107
1944.02,2019,138.9878
1944.03,2019,126.73217
1944.04,2019,78.78458
1944.05,2019,77.6135
1944.06,2019,139
1945.01,2019,159.28658
1945.02,2019,161.80098
1945.03,2019,134.14981
1946,2019,120.22273
1947,2019,76.72027
1948,2019,61.90468
1949,2019,0.97601
1950,2019,71.09949
1951,2019,38.72445
1952,2019,227.20814
1953,2019,20.48109
1954,2019,25.52608
1955,2019,117.4846
1956,2019,114.72723
1957,2019,136.55248
1958,2019,104.58911
1959,2019,116.95538
1960,2019,34.40169
1961,2019,27.60436
1962,2019,39.30196
1963,2019,33.49682
1964,2019,31.66538
1965,2019,35.59763
1966.01,2019,41.37974
1966.02,2019,42.51418
1967,2019,42.70884
1968.01,2019,72.27889
1968.02,2019,64.22972
1969.01,2019,156.68687
1969.02,2019,156.86899
1970,2019,41.62307
1971,2019,154.69405
1972.01,2019,78.55598
1972.02,2019,77.73845
1972.03,2019,71.51681
1972.04,2019,71.36104
1973.01,2019,153.67061
1973.02,2019,156.52591
1973.03,2019,156.07448
1973.04,2019,156.20795
1974,2019,69.85346
1975,2019,53.30853
1976,2019,18.80942
1977,2019,44.74778
1978,2019,40.96015
1979,2019,65.04465
1980,2019,40.40757
1981,2019,149.93763
1982,2019,95.45124
1983,2019,64.12862
1984,2019,75.933
1985,2019,55.78491
1986,2019,55.66631
1987,2019,53.72763
1988,2019,26.08367
1989.01,2019,51.43661
1989.02,2019,94.55316
1989.03,2019,94.72011
1990,2019,92.54289
1991,2019,129.23978
1992,2019,123.3993
1993,2019,177.66305
1994,2019,226.76658
1995,2019,163.04543
1996,2019,177.17586
1997,2019,88.5039
1998,2019,113.30072
1999,2019,167.92863
2000,2019,92.34168
2001,2019,152.2212
2002,2019,68.95721
2003,2019,62.23073
2004,2019,86.90754
2005,2019,149.90884
2006.01,2019,58
2006.02,2019,58
2007,2019,66.70825
2008,2019,48.31604
2009,2019,143.30403
2010,2019,160.6171
2011,2019,83.80062
2012.01,2019,69.45639
2012.02,2019,77.87936
2013.01,2019,147.82227
2013.02,2019,146.57421
2014,2019,99.40177
2015,2019,103.3432
2016,2019,103.33333
2017,2019,103.41853
2018.01,2019,84.66667
2018.02,2019,84.66787
2018.03,2019,84.39391
2019,2019,126.30212
2020,2019,89.27793
2021,2019,87.68725
2022,2019,85.69186
2023,2019,60.72845
2024,2019,163.68955
2025.01,2019,166.18179
2025.02,2019,165.94608
2025.03,2019,166.33333
2026,2019,149.66667
2027,2019,147.25659
2028,2019,149.66667
2029,2019,160.21148
2030,2019,160.5739
2031,2019,146.74098
2032,2019,147.37607
2033,2019,64.67308
2034,2019,68.63564
2035,2019,92.35186
2036.01,2019,51.75264
2036.02,2019,38.71068
2036.03,2019,51.96857
2037,2019,41.77793
2038,2019,55.6509
2039,2019,62.4072
2040,2019,35.3253
2041,2019,43.52136
2042,2019,49.17199
2043,2019,38.62237
2044.01,2019,79.62212
2044.02,2019,148.59742
2045,2019,140.53125
