Geo,Year,D3bpo4
1611,2019,1.600287
1612,2019,0.122858
1613,2019,8.168613
1614,2019,18.477254
1615,2019,0.108453
1616,2019,0.069506
1617,2019,0.29118
1618,2019,14.529692
1619,2019,0.362292
1620,2019,0.36133
1621,2019,1.499824
1622,2019,0.326962
1623,2019,1.616923
1624,2019,1.49002
1625,2019,1.43991
1626,2019,1.529549
1627,2019,1.932069
1628.01,2019,8.122494
1628.02,2019,8.07091
1628.03,2019,8.067677
1629,2019,5.034233
1630.01,2019,19.2264
1630.02,2019,29.780881
1631,2019,30.275063
1632.01,2019,17.356275
1632.02,2019,26.216254
1632.03,2019,14.27877
1632.04,2019,9.199166
1633,2019,0.322874
1634,2019,9.232872
1635,2019,6.325264
1636,2019,3.534791
1637,2019,20.120889
1638.01,2019,41.368894
1638.02,2019,18.749972
1639.01,2019,14.76193
1639.02,2019,16.839049
1640,2019,1.194741
1641,2019,1.245741
1642,2019,4.243155
1643,2019,3.721151
1644,2019,6.753161
1645,2019,16.944108
1646,2019,29.93529
1647.01,2019,21.62958
1647.02,2019,31.902497
1648,2019,29.286729
1649,2019,9.36994
1650,2019,0.259808
1651,2019,6.091187
1652.01,2019,8.067192
1652.02,2019,12.363038
1653,2019,2.790461
1654.01,2019,6.167069
1654.02,2019,6.071683
1655,2019,25.008123
1656,2019,17.575654
1657,2019,11.44424
1658,2019,35.509848
1659,2019,5.784429
1660,2019,21.065433
1661,2019,3.92794
1662.01,2019,16.859645
1662.02,2019,23.452292
1662.03,2019,3.398046
1663,2019,17.454331
1664,2019,10.543023
1665.01,2019,9.758235
1665.02,2019,4.483869
1666,2019,4.637396
1667,2019,7.030691
1668,2019,4.619251
1669,2019,0.018737
1670,2019,3.679518
1671,2019,7.140156
1672.01,2019,9.64209
1672.02,2019,9.619764
1673.01,2019,0.710176
1673.02,2019,1.95705
1673.03,2019,1.852836
1674,2019,9.296544
1675.01,2019,1.834277
1675.02,2019,1.768607
1676.01,2019,1.729117
1676.02,2019,1.710676
1676.03,2019,1.855927
1677,2019,0.320935
1678,2019,4.930502
1679,2019,4.873684
1680,2019,0.449022
1681,2019,2.978994
1682.01,2019,4.772938
1682.02,2019,3.044797
1683,2019,4.939039
1684,2019,4.840373
1685,2019,2.891888
1686,2019,2.814089
1687,2019,1.508411
1688.01,2019,4.534459
1688.02,2019,2.991613
1688.03,2019,2.990835
1689.01,2019,4.932457
1689.02,2019,2.994378
1689.03,2019,2.991038
1690.01,2019,3.005249
1690.02,2019,2.96209
1691,2019,5.157088
1692,2019,1.004845
1693,2019,1.005445
1694,2019,15.046719
1695,2019,17.119356
1696,2019,9.818236
1697,2019,20.380392
1698,2019,17.990341
1699,2019,17.477502
1700,2019,1.689117
1701,2019,0.900825
1702,2019,0.700055
1703,2019,20.671161
1704.01,2019,8.260835
1704.02,2019,8.072715
1704.03,2019,8.008216
1705,2019,13.465702
1706,2019,16.300712
1707,2019,12.926486
1708,2019,6.84297
1709,2019,3.220422
1710,2019,3.217183
1711,2019,0.203454
1712,2019,1.105428
1713,2019,0.500473
1714,2019,0.502449
1715,2019,4.769778
1716,2019,2.417024
1717,2019,4.619444
1718,2019,2.411274
1719,2019,3.231493
1720,2019,1.057719
1721,2019,1.064503
1722,2019,1.097189
1723,2019,0.590526
1724,2019,5.248023
1725.01,2019,0.561903
1725.02,2019,0.538652
1726.01,2019,0.64277
1726.02,2019,0.676083
1727,2019,5.261888
1728.01,2019,2.15
1728.02,2019,2.39032
1729.01,2019,5.275695
1729.02,2019,5.261888
1730.01,2019,1.297688
1730.02,2019,2.410282
1731.01,2019,29.375071
1731.02,2019,29.53472
1731.03,2019,29.286249
1732,2019,11.262816
1733,2019,9.350161
1734,2019,2.936607
1735,2019,8.218219
1736,2019,35.225154
1737,2019,15.697059
1738,2019,3.199916
1739.01,2019,10.304134
1739.02,2019,81.336053
1739.03,2019,60.803242
1740,2019,11.616844
1741.01,2019,9.772914
1741.02,2019,9.897507
1741.03,2019,9.855429
1742.01,2019,8.916534
1742.02,2019,8.930493
1743,2019,8.969971
1744.01,2019,1.985597
1744.02,2019,2.166475
1745,2019,2.079201
1746,2019,1.928123
1747,2019,9.020233
1748,2019,25.535009
1749,2019,7.932041
1750.01,2019,10.152038
1750.02,2019,9.699142
1750.03,2019,10.457673
1751,2019,39.859333
1752.01,2019,45.526154
1752.02,2019,89.66264
1753.01,2019,7.93
1753.02,2019,7.93
1753.03,2019,7.93647
1754.01,2019,7.517468
1754.02,2019,38.474504
1754.03,2019,38.215689
1755,2019,20.049954
1756,2019,1.854089
1757,2019,8.617875
1758,2019,3.732959
1759,2019,4.159305
1760,2019,5.5381
1761,2019,13.885565
1762,2019,8.022117
1763,2019,0.732189
1764,2019,1.991105
1765,2019,1.890057
