Geo,Year,D3bp04
1611,2019,1.623341212
1612,2019,0.00494417
1613,2019,8.091913201
1614,2019,18.21772922
1615,2019,0.103360903
1616,2019,0.07310568
1617,2019,0.284394347
1618,2019,14.47839666
1619,2019,0.376667359
1620,2019,0.366548359
1621,2019,1.497868626
1622,2019,0.327568621
1623,2019,1.608905571
1624,2019,1.448260161
1625,2019,1.439269426
1626,2019,1.535451532
1627,2019,1.941183772
1628.01,2019,8.090247613
1628.02,2019,8.111114587
1628.03,2019,8.070079117
1629,2019,5.068685045
1630.01,2019,19.20846784
1630.02,2019,29.38664899
1631,2019,29.01813992
1632.01,2019,17.43368457
1632.02,2019,25.90448161
1632.03,2019,14.32114746
1632.04,2019,9.241350972
1633,2019,2.249712196
1634,2019,9.300493007
1635,2019,6.382481773
1636,2019,3.517023165
1637,2019,20.14834931
1638.01,2019,41.20903099
1638.02,2019,18.73461758
1639.01,2019,14.72765264
1639.02,2019,16.75891733
1640,2019,1.182421343
1641,2019,1.246098453
1642,2019,4.231597167
1643,2019,3.730943315
1644,2019,6.551306502
1645,2019,16.95477399
1646,2019,30.19818073
1647.01,2019,20.70224894
1647.02,2019,31.66533556
1648,2019,28.72318097
1649,2019,9.954550589
1650,2019,0.184944498
1651,2019,6.089355807
1652.01,2019,7.990397066
1652.02,2019,12.20353635
1653,2019,2.797622304
1654.01,2019,6.155955644
1654.02,2019,6.02866876
1655,2019,24.89981969
1656,2019,17.4219774
1657,2019,11.20151305
1658,2019,35.18506464
1659,2019,5.820977894
1660,2019,20.90506985
1661,2019,3.875826273
1662.01,2019,16.81180497
1662.02,2019,23.53093022
1662.03,2019,3.337428432
1663,2019,17.25085764
1664,2019,10.56777174
1665.01,2019,9.769942763
1665.02,2019,4.498069332
1666,2019,4.589630096
1667,2019,6.946302348
1668,2019,4.616618489
1669,2019,0.107748623
1670,2019,3.632432023
1671,2019,7.306895604
1672.01,2019,9.505754434
1672.02,2019,9.395949417
1673.01,2019,0.715841774
1673.02,2019,1.936066102
1673.03,2019,1.868509116
1674,2019,9.277483183
1675.01,2019,1.774054548
